rank,usage_tier,score,register,jlpt,id,grammar,meaning,url,norm
156,B (common),82.85,general,N4,115.0,てくれない・てもらえない,"Won't you?, Will you?, Could you?, Can you?, Would you?",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%AA%E3%81%84-%E3%81%A6%E3%82%82%E3%82%89%E3%81%88%E3%81%AA%E3%81%84,てくれない・てもらえない
157,B (common),82.0,general,N3,27.0,ほど,"The more, About, To the extent that, So much… that",https://bunpro.jp/grammar_points/%E3%81%BB%E3%81%A9,ほど
158,B (common),82.0,archaic/literary,N3,7.0,べき,"Must, Should , Ought to",https://bunpro.jp/grammar_points/%E3%81%B9%E3%81%8D,べき
159,B (common),81.65,general,N3,1.0,ばいい,"Can, Should, It'd be good if",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%84%E3%81%84,ばいい
160,B (common),81.65,general,N3,4.0,の間に,"While, During, Between, Period",https://bunpro.jp/grammar_points/%E3%81%AE%E9%96%93%E3%81%AB,の間に
161,B (common),81.65,general,N3,5.0,うちに,"While, During",https://bunpro.jp/grammar_points/%E3%81%86%E3%81%A1%E3%81%AB,うちに
162,B (common),81.65,general,N3,16.0,ことだ,"Should, Ought",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%A0,ことだ
163,B (common),81.65,general,N3,17.0,そうだ,"I heard that, It is said that",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%A0,そうだ
164,B (common),81.65,general,N3,18.0,すると,"Having done..., If...is done..., (And/just) then, Thereupon, If so",https://bunpro.jp/grammar_points/%E3%81%99%E3%82%8B%E3%81%A8,すると
165,B (common),81.65,general,N3,28.0,ば〜ほど,The more…the more,https://bunpro.jp/grammar_points/%E3%81%B0-%E3%81%BB%E3%81%A9,ばほど
166,B (common),81.65,general,N3,32.0,ため(に),"For, For the sake of, In order to",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%81-%E3%81%AB,ため(に)
167,B (common),81.65,general,N3,33.0,ために,"Due to, Because of, As a result of",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%81%E3%81%AB,ために
168,B (common),81.65,general,N3,34.0,という,"Called, Named, Known as, As much as",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86-called,という
169,B (common),81.65,general,N3,39.0,ものだ,"Supposed to, Should, That's the way it is",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%AE%E3%81%A0,ものだ
170,B (common),81.65,general,N3,48.0,ばかり,"Just, Only, Nothing but",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%8B%E3%82%8A,ばかり
171,B (common),81.65,general,N3,73.0,わけだ,"For that reason, No wonder, As you'd expect, Naturally, Thus, This is why",https://bunpro.jp/grammar_points/%E3%82%8F%E3%81%91%E3%81%A0,わけだ
172,B (common),81.65,general,N3,82.0,くらい ②,"To the extent that, So…that, About the only thing that...",https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%89%E3%81%842,くらい
173,B (common),81.65,general,N3,88.0,まま(に),"As is, While remaining, Left in a state",https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%BE,まま(に)
174,B (common),81.65,general,N3,96.0,として,"As (i.e. in the role of), For",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%97%E3%81%A6,として
175,B (common),81.65,general,N3,108.0,さえ〜ば,"If only…then, As long as..., Provided..., Only thing ... needs for ... is ...",https://bunpro.jp/grammar_points/%E3%81%95%E3%81%88-%E3%81%B0,さえば
176,B (common),81.65,general,N3,129.0,ことに,"Extremely, Especially, To my ...",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%AB,ことに
177,B (common),81.65,general,N3,130.0,ことか,"How…, What..., God knows...",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%8B,ことか
178,B (common),81.65,general,N3,150.0,Verb[volitional]とする,"Try to, Attempt to, To be about to",https://bunpro.jp/grammar_points/verb-volitional%E3%81%A8%E3%81%99%E3%82%8B,Verb[volitional]とする
179,B (common),81.65,general,N3,158.0,と共に,"Together with, At the same time,  As well as",https://bunpro.jp/grammar_points/%E3%81%A8%E5%85%B1%E3%81%AB,と共に
180,B (common),81.65,general,N3,195.0,とおり,"In that way, Exactly, Precisely, Just as",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8A%E3%82%8A,とおり
181,B (common),81.65,general,N3,204.0,せいで,"Because of, Due to, Blame",https://bunpro.jp/grammar_points/%E3%81%9B%E3%81%84%E3%81%A7,せいで
182,B (common),81.65,archaic/literary,N3,135.0,ずっと ②,"By far, Way, Far...er, Far...more",https://bunpro.jp/grammar_points/%E3%81%9A%E3%81%A3%E3%81%A82,ずっと
183,B (common),81.3,general,N3,25.0,ところが,"Even so, However, Even though, But",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%93%E3%82%8D%E3%81%8C,ところが
184,B (common),81.3,general,N3,26.0,ところで,"By the way, Incidentally",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A7,ところで
185,B (common),81.3,general,N3,38.0,もの・もん,"Because, Cause",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%AE-%E3%82%82%E3%82%93,もの・もん
186,B (common),81.3,general,N3,42.0,おかげで,"Thanks to, Because of",https://bunpro.jp/grammar_points/%E3%81%8A%E3%81%8B%E3%81%92%E3%81%A7,おかげで
187,B (common),81.3,general,N3,47.0,からこそ,"Emphasized because, Precisely because",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89%E3%81%93%E3%81%9D,からこそ
188,B (common),81.3,general,N3,49.0,ばかりだ,"(Only) continue to, Keep on -ing, More and more",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%8B%E3%82%8A%E3%81%A0,ばかりだ
189,B (common),81.3,general,N3,50.0,ばかりに,"Simply because, Only because, Just because, Simply on account of",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%8B%E3%82%8A%E3%81%AB,ばかりに
190,B (common),81.3,general,N3,53.0,ことなの,"(A) is (Description of A), (A) means that (Description of A)",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%AA%E3%81%AE,ことなの
191,B (common),81.3,general,N3,58.0,といえば,"Speaking of, If it were the case that",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%88%E3%81%B0,といえば
192,B (common),81.3,general,N3,61.0,について,"Concerning, About, Regarding",https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6,について
193,B (common),81.3,general,N3,63.0,と言える,"Would or could say that..., Can probably say that..., Fair to say that...",https://bunpro.jp/grammar_points/%E3%81%A8%E8%A8%80%E3%81%88%E3%82%8B,と言える
194,B (common),81.3,general,N3,75.0,と同時に,"At the same time as, The instant, The moment, As well as",https://bunpro.jp/grammar_points/%E3%81%A8%E5%90%8C%E6%99%82%E3%81%AB,と同時に
195,B (common),81.3,formal/written,N3,81.0,に対して,"In contrast to, While, In regard to, Whereas",https://bunpro.jp/grammar_points/%E3%81%AB%E5%AF%BE%E3%81%97%E3%81%A6,に対して
196,B (common),81.3,general,N3,90.0,しかない,"Have no choice but, Only, Just",https://bunpro.jp/grammar_points/%E3%81%97%E3%81%8B%E3%81%AA%E3%81%84,しかない
197,B (common),81.3,general,N3,98.0,にしても,"Even though, Even if, Even when, Also",https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%97%E3%81%A6%E3%82%82,にしても
198,B (common),81.3,general,N3,102.0,ことから,From the fact that,https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%8B%E3%82%89,ことから
199,B (common),81.3,general,N3,109.0,たものだ,Used to,https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%82%E3%81%AE%E3%81%A0,たものだ
200,B (common),81.3,general,N3,122.0,だけしか," To emphasize '~only', Nothing but",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%97%E3%81%8B,だけしか
201,B (common),81.3,general,N3,133.0,で言うと,"In, Of, According to",https://bunpro.jp/grammar_points/%E3%81%A7%E8%A8%80%E3%81%86%E3%81%A8,で言うと
202,B (common),81.3,general,N3,137.0,もっとも,"Although, But, However, For all that, Provided that",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%A3%E3%81%A8%E3%82%82,もっとも
203,B (common),81.3,general,N3,142.0,と並んで,"In line with, Comparable with, Along with, Just like, As … as",https://bunpro.jp/grammar_points/%E3%81%A8%E4%B8%A6%E3%82%93%E3%81%A7,と並んで
204,B (common),81.3,general,N3,151.0,Verb[volitional] + としたが,"Tried to ~ but ~, Was about to ~ but ~, Was going to ~ but ~",https://bunpro.jp/grammar_points/verb-volitional-%E3%81%A8%E3%81%97%E3%81%9F%E3%81%8C,Verb[volitional]+としたが
205,B (common),81.3,general,N3,165.0,ながらも,"But, Even while, Even though, Despite, Although",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8C%E3%82%89%E3%82%82,ながらも
206,B (common),81.3,general,N3,196.0,でもある,"Be also, It also is",https://bunpro.jp/grammar_points/%E3%81%A7%E3%82%82%E3%81%82%E3%82%8B,でもある
207,B (common),80.95,general,N3,6.0,ないうちに,"Before it becomes, Before ~ occurs, Without",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%86%E3%81%A1%E3%81%AB,ないうちに
208,B (common),80.95,general,N3,19.0,そうすると,"Having done that..., If that is done..., (And/just) then, Thereupon, If so",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%99%E3%82%8B%E3%81%A8,そうすると
209,B (common),80.95,general,N3,29.0,ほど～ない,"Is not as…as, Isn't... like..., Not to the extent of...",https://bunpro.jp/grammar_points/%E3%81%BB%E3%81%A9%EF%BD%9E%E3%81%AA%E3%81%84,ほど~ない
210,B (common),80.95,general,N3,36.0,というのは,"~ Known as ~ is, ~ Called ~ is, ~ Means ~, Because",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86%E3%81%AE%E3%81%AF,というのは
211,B (common),80.95,general,N3,51.0,ことがある,"Something is possible, Sometimes, Occasionally, There are times when",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%8C%E3%81%82%E3%82%8B,ことがある
212,B (common),80.95,general,N3,52.0,ことにする,"To decide on, Have decided to",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%AB%E3%81%99%E3%82%8B,ことにする
213,B (common),80.95,general,N3,54.0,ことになる,"It will end up being, It is the result of, It has been decided that",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%AB%E3%81%AA%E3%82%8B,ことになる
214,B (common),80.95,general,N3,56.0,ことはない,"There is no need to, Never happens",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%AF%E3%81%AA%E3%81%84,ことはない
215,B (common),80.95,general,N3,65.0,そのため(に),"For that reason, Because of that, To that end",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%AE%E3%81%9F%E3%82%81-%E3%81%AB,そのため(に)
216,B (common),80.95,general,N3,69.0,いくら〜でも,No matter how (much),https://bunpro.jp/grammar_points/%E3%81%84%E3%81%8F%E3%82%89-%E3%81%A7%E3%82%82,いくらでも
217,B (common),80.95,general,N3,94.0,わけがない,"There is no way, There is no reason, It is impossible, Cannot be",https://bunpro.jp/grammar_points/%E3%82%8F%E3%81%91%E3%81%8C%E3%81%AA%E3%81%84,わけがない
218,B (common),80.95,general,N3,100.0,から言うと,"Speaking in terms of, From the point of view of",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89%E8%A8%80%E3%81%86%E3%81%A8,から言うと
219,B (common),80.95,general,N3,103.0,というより,"...is more of a... than a..., Rather than saying that...",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86%E3%82%88%E3%82%8A,というより
220,B (common),80.95,general,N3,128.0,たとえ〜ても,"Even if…is the case, Supposing that",https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%A8%E3%81%88-%E3%81%A6%E3%82%82,たとえても
221,B (common),80.95,general,N3,143.0,に違いない,"There is no doubt that, I'm sure",https://bunpro.jp/grammar_points/%E3%81%AB%E9%81%95%E3%81%84%E3%81%AA%E3%81%84,に違いない
222,B (common),80.95,general,N3,153.0,そうもない,"Very unlikely to, Does not seem that, Does not appear that",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%82%82%E3%81%AA%E3%81%84,そうもない
223,B (common),80.95,general,N3,161.0,たとたんに,"The instant or moment, As soon as, Just as",https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%A8%E3%81%9F%E3%82%93%E3%81%AB,たとたんに
224,B (common),80.95,general,N3,193.0,でよければ,"If it is alright, If you don't mind, If you would like, If possible",https://bunpro.jp/grammar_points/%E3%81%A7%E3%82%88%E3%81%91%E3%82%8C%E3%81%B0,でよければ
225,B (common),80.95,general,N3,197.0,どうしても,"Regardless of, No matter what",https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%86%E3%81%97%E3%81%A6%E3%82%82,どうしても
226,B (common),80.95,archaic/literary,N3,93.0,んじゃない,"Don't, Mustn't, Shouldn't have",https://bunpro.jp/grammar_points/%E3%82%93%E3%81%98%E3%82%83%E3%81%AA%E3%81%84,んじゃない
227,B (common),80.6,general,N3,35.0,ということだ,"I heard that, Rumor has it that, It is said that, It means that",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86%E3%81%93%E3%81%A8%E3%81%A0,ということだ
228,B (common),80.6,general,N3,43.0,にもとづいて,"Based on, In accordance with",https://bunpro.jp/grammar_points/%E3%81%AB%E3%82%82%E3%81%A8%E3%81%A5%E3%81%84%E3%81%A6,にもとづいて
229,B (common),80.6,general,N3,45.0,なぜなら〜から,"Because, The reason is, That is because",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%9C%E3%81%AA%E3%82%89-%E3%81%8B%E3%82%89,なぜならから
230,B (common),80.6,general,N3,57.0,～と言っても,Although ~ might say that ~,https://bunpro.jp/grammar_points/%E3%81%A8%E8%A8%80%E3%81%A3%E3%81%A6%E3%82%82,~と言っても
231,B (common),80.6,general,N3,68.0,どんなに〜ても,No matter how,https://bunpro.jp/grammar_points/%E3%81%A9%E3%82%93%E3%81%AA%E3%81%AB-%E3%81%A6%E3%82%82,どんなにても
232,B (common),80.6,general,N3,74.0,わけではない,"It doesn't mean that, It is not the case, It's not like",https://bunpro.jp/grammar_points/%E3%82%8F%E3%81%91%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%84,わけではない
233,B (common),80.6,general,N3,76.0,ところだった ①,"Almost, Nearly, About to, On the verge of",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0%E3%81%A3%E3%81%9F1,ところだった
234,B (common),80.6,general,N3,117.0,とても～ない,"Not ~ at all, Cannot ~ at all",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%A6%E3%82%82-%E3%81%AA%E3%81%84,とても~ない
235,B (common),80.6,general,N3,119.0,ばかりでなく,"Not only…but also, As well as",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%8B%E3%82%8A%E3%81%A7%E3%81%AA%E3%81%8F,ばかりでなく
236,B (common),80.6,general,N3,126.0,〜ようとしない,"Not willing to, Not make an effort to, To not attempt or try to, Volitional + としない",https://bunpro.jp/grammar_points/-%E3%82%88%E3%81%86%E3%81%A8%E3%81%97%E3%81%AA%E3%81%84,ようとしない
237,B (common),80.6,general,N3,127.0,もしかしたら,"Perhaps, Maybe, Possibly",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%97%E3%81%8B%E3%81%97%E3%81%9F%E3%82%89,もしかしたら
238,B (common),80.6,general,N3,131.0,～かというと ①,"Why? Well..., Why? Because..., If you ask me why..., The reason why is..., It is because...",https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%A8%E3%81%84%E3%81%86%E3%81%A81,~かというと
239,B (common),80.6,general,N3,132.0,～かというと ②,"If you ask me..., If I had to say, If I were to say, If I were to choose one, I'd rather",https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%A8%E3%81%84%E3%81%86%E3%81%A82,~かというと
240,B (common),80.6,general,N3,147.0,とは限らない,"Not necessarily so, Is not always true, There is no guarantee that",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%AF%E9%99%90%E3%82%89%E3%81%AA%E3%81%84,とは限らない
241,B (common),80.6,general,N3,202.0,前者は・後者は,"The former ~ the latter, The first ~ the second",https://bunpro.jp/grammar_points/%E5%89%8D%E8%80%85%E3%81%AF-%E5%BE%8C%E8%80%85%E3%81%AF,前者は・後者は
242,B (common),80.6,general,N3,217.0,という理由で,"For (that) reason; on the grounds of (that), With the reasoning, Under the pretext of, Due to",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86%E7%90%86%E7%94%B1%E3%81%A7,という理由で
243,B (common),80.6,archaic/literary,N3,8.0,べきではない,"Should not, Must not , Ought not to",https://bunpro.jp/grammar_points/%E3%81%B9%E3%81%8D%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%84,べきではない
244,B (common),80.6,archaic/literary,N3,140.0,と同じくらい,"About the same as, About as, No less",https://bunpro.jp/grammar_points/%E3%81%A8%E5%90%8C%E3%81%98%E3%81%8F%E3%82%89%E3%81%84,と同じくらい
245,B (common),80.25,general,N3,2.0,たらいい・といい,"It would be nice if, It would be good if, Should, I hope",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%89%E3%81%84%E3%81%84-%E3%81%A8%E3%81%84%E3%81%84,たらいい・といい
246,B (common),80.25,formal/written,N3,14.0,によって・による,"By means of, According to, Depending on, Because of, Due to",https://bunpro.jp/grammar_points/%E3%81%AB%E3%82%88%E3%81%A3%E3%81%A6-%E3%81%AB%E3%82%88%E3%82%8B,によって・による
247,B (common),80.25,general,N3,83.0,は～くらいです,"About the only, To the extent that",https://bunpro.jp/grammar_points/%E3%81%AF-%E3%81%8F%E3%82%89%E3%81%84%E3%81%A7%E3%81%99,は~くらいです
248,B (common),80.25,general,N3,91.0,てもかまわない,"It doesn't matter if, I don't mind",https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82%E3%81%8B%E3%81%BE%E3%82%8F%E3%81%AA%E3%81%84,てもかまわない
249,B (common),80.25,general,N3,116.0,ような気がする,Have a feeling that,https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AA%E6%B0%97%E3%81%8C%E3%81%99%E3%82%8B,ような気がする
250,B (common),80.25,general,N3,152.0,言うまでもない ②,"It goes without saying, It is needless to say, Of course, Obviously",https://bunpro.jp/grammar_points/%E8%A8%80%E3%81%86%E3%81%BE%E3%81%A7%E3%82%82%E3%81%AA%E3%81%842,言うまでもない
251,B (common),80.25,general,N3,154.0,ないことはない,"Is not impossible, It doesn't mean that it isn't",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%93%E3%81%A8%E3%81%AF%E3%81%AA%E3%81%84,ないことはない
252,B (common),79.9,formal/written,N3,13.0,によると・によれば,According to,https://bunpro.jp/grammar_points/%E3%81%AB%E3%82%88%E3%82%8B%E3%81%A8-%E3%81%AB%E3%82%88%E3%82%8C%E3%81%B0,によると・によれば
253,B (common),79.9,general,N3,70.0,〜かは〜によって違う,"Depends on, Changes depending on, Differ depending on",https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%AF-%E3%81%AB%E3%82%88%E3%81%A3%E3%81%A6%E9%81%95%E3%81%86,かはによって違う
254,B (common),79.9,formal/written,N3,80.0,に関する・に関して,"Related to, About, Regarding",https://bunpro.jp/grammar_points/%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B-%E3%81%AB%E9%96%A2%E3%81%97%E3%81%A6,に関する・に関して
255,B (common),79.9,general,N3,92.0,～ても～なくても,Whether ~ or not,https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82-%E3%81%AA%E3%81%8F%E3%81%A6%E3%82%82,~ても~なくても
256,B (common),79.9,general,N3,121.0,だけでなく(て)～も,"Not only ~ but ~ also, Not just ~ but ~ also",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%A7%E3%81%AA%E3%81%8F-%E3%81%A6-%E3%82%82,だけでなく(て)~も
257,B (common),79.9,general,N3,123.0,は言うまでもない ①,"It goes without saying (that), (It is) needless to say, I don't need to remind you",https://bunpro.jp/grammar_points/%E3%81%AF%E8%A8%80%E3%81%86%E3%81%BE%E3%81%A7%E3%82%82%E3%81%AA%E3%81%841,は言うまでもない
258,B (common),79.9,general,N3,125.0,わけにはいかない,"Cannot afford to, No way, Impossible to do",https://bunpro.jp/grammar_points/%E3%82%8F%E3%81%91%E3%81%AB%E3%81%AF%E3%81%84%E3%81%8B%E3%81%AA%E3%81%84,わけにはいかない
259,B (common),79.9,formal/written,N3,166.0,において・における,"In, On, At, Regarding, In terms of",https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%8A%E3%81%84%E3%81%A6-%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B,において・における
260,B (common),79.9,archaic/literary,N3,64.0,ちゃんと・きちんと,"Properly, Neatly, Orderly, Sufficiently, Decently",https://bunpro.jp/grammar_points/%E3%81%A1%E3%82%83%E3%82%93%E3%81%A8-%E3%81%8D%E3%81%A1%E3%82%93%E3%81%A8,ちゃんと・きちんと
261,B (common),79.9,archaic/literary,N3,141.0,と同じで・と違って,"Like, Similar to, Unlike, Dissimilar to",https://bunpro.jp/grammar_points/%E3%81%A8%E5%90%8C%E3%81%98%E3%81%A7-%E3%81%A8%E9%81%95%E3%81%A3%E3%81%A6,と同じで・と違って
262,B (common),79.9,archaic/literary,N3,192.0,できれば・できたら,If possible,https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%8D%E3%82%8C%E3%81%B0-%E3%81%A7%E3%81%8D%E3%81%9F%E3%82%89,できれば・できたら
263,B (common),79.55,general,N3,99.0,～というのは事実だ,"It is a fact that ~, There is no doubt that",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86%E3%81%AE%E3%81%AF%E4%BA%8B%E5%AE%9F%E3%81%A0,~というのは事実だ
264,B (common),79.55,general,N3,115.0,まるで…ようだ,"It is entirely as if, It is just as though",https://bunpro.jp/grammar_points/%E3%81%BE%E3%82%8B%E3%81%A7-%E3%82%88%E3%81%86%E3%81%A0,まるで...ようだ
265,B (common),79.55,general,N3,218.0,～は～となっている,"It is (has been), Have/has become, Happen to be, Has been established",https://bunpro.jp/grammar_points/%E3%81%AF-%E3%81%A8%E3%81%AA%E3%81%A3%E3%81%A6%E3%81%84%E3%82%8B,~は~となっている
266,B (common),79.55,archaic/literary,N3,30.0,では・それでは・じゃあ,"If so, Well (then), In that case",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%AF-%E3%81%9D%E3%82%8C%E3%81%A7%E3%81%AF-%E3%81%98%E3%82%83%E3%81%82,では・それでは・じゃあ
267,B (common),79.2,archaic/literary,N3,120.0,ではなくて・じゃなくて,"Not A but B, Conjunctive",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%8F%E3%81%A6-%E3%81%98%E3%82%83%E3%81%AA%E3%81%8F%E3%81%A6,ではなくて・じゃなくて
268,B (common),78.95,general,N0,12.0,あわよくば,"If luck is on my side, If the time is right, If possible, all going well",https://bunpro.jp/grammar_points/%E3%81%82%E3%82%8F%E3%82%88%E3%81%8F%E3%81%B0,あわよくば
269,B (common),78.5,general,N3,95.0,としたら・とすれば・とすると,"If it were the case that, Assuming that...",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%97%E3%81%9F%E3%82%89-%E3%81%A8%E3%81%99%E3%82%8C%E3%81%B0-%E3%81%A8%E3%81%99%E3%82%8B%E3%81%A8,としたら・とすれば・とすると
270,B (common),78.5,general,N3,198.0,もしも～なら・もしも～でも," If, Supposing",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%97%E3%82%82%EF%BD%9E%E3%81%AA%E3%82%89%E3%83%BB%E3%82%82%E3%81%97%E3%82%82%EF%BD%9E%E3%81%A7%E3%82%82,もしも~なら・もしも~でも
271,B (common),78.0,general,N2,34.0,後(の) Noun,"…left, Rest, Remaining, In, …to, …else",https://bunpro.jp/grammar_points/%E5%BE%8C-%E3%81%AEnoun,後(の)Noun
272,B (common),78.0,general,N2,72.0,つつ,"While, And",https://bunpro.jp/grammar_points/%E3%81%A4%E3%81%A4,つつ
273,B (common),78.0,general,N2,209.0,とも,"Even if, No matter",https://bunpro.jp/grammar_points/%E3%81%A8%E3%82%82,とも
274,B (common),77.65,general,N2,73.0,つつ(も),"Even while ~ing, Even though ~ing, Despite ~ing, Although ~ing",https://bunpro.jp/grammar_points/%E3%81%A4%E3%81%A4-%E3%82%82,つつ(も)
275,B (common),77.65,general,N2,135.0,ものの,"Although, But, Even Though",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%AE%E3%81%AE,ものの
276,B (common),77.65,general,N2,153.0,ものか,"Definitely not, Absolutely not, Impossible, Do you really think~?",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%AE%E3%81%8B,ものか
277,B (common),77.65,general,N2,181.0,だけに,"As might be expected, Because, All the more because, It's only natural",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%AB,だけに
278,B (common),77.65,general,N2,182.0,だけは,"To do all that one can, As much or many ~ as one could",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%AF,だけは
279,B (common),77.65,general,N2,207.0,しかも,"Moreover, Furthermore",https://bunpro.jp/grammar_points/%E3%81%97%E3%81%8B%E3%82%82,しかも
280,B (common),77.65,general,N2,208.0,てでも,"Even if I have to, By any or all means, No matter what",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%A7%E3%82%82,てでも
281,B (common),77.65,archaic/literary,N2,42.0,につき,"Due to, On account of, Each or every",https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%A4%E3%81%8D,につき
282,B (common),77.3,general,N2,18.0,それなら,"Then, If that's the case",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C%E3%81%AA%E3%82%89,それなら
283,B (common),77.3,general,N2,19.0,ものなら①,"If, If one could, If something would be possible",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%AE%E3%81%AA%E3%82%89%E2%91%A0,ものなら
284,B (common),77.3,formal/written,N2,74.0,に際して,"On the occasion of, At the time of",https://bunpro.jp/grammar_points/%E3%81%AB%E9%9A%9B%E3%81%97%E3%81%A6,に際して
285,B (common),77.3,general,N2,78.0,つつある,"-ing, Be -ing",https://bunpro.jp/grammar_points/%E3%81%A4%E3%81%A4%E3%81%82%E3%82%8B,つつある
286,B (common),77.3,general,N2,99.0,とっくに,"Already, A long time ago, Long ago",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%A3%E3%81%8F%E3%81%AB,とっくに
287,B (common),77.3,general,N2,101.0,をもとに,"Based on, From, According to",https://bunpro.jp/grammar_points/%E3%82%92%E3%82%82%E3%81%A8%E3%81%AB,をもとに
288,B (common),77.3,general,N2,102.0,からには,"As long as, Since, Given",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89%E3%81%AB%E3%81%AF,からには
289,B (common),77.3,general,N2,117.0,それとも,"Or, Or else, Rather",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C%E3%81%A8%E3%82%82,それとも
290,B (common),77.3,general,N2,118.0,にしたら,From the point of view of,https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%97%E3%81%9F%E3%82%89,にしたら
291,B (common),77.3,general,N2,120.0,としては,"As a, For a, As for",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%97%E3%81%A6%E3%81%AF,としては
