rank,lemma,reading,count,meanings_en,pos_tags,alt_readings_kana,alt_spellings_kanji
2643,先頭,セントウ,222196,first; head; lead; vanguard,noun (common) (futsuumeishi),せんとう,先登 先頭
2644,王城,オウジョウ,222036,imperial castle; royal castle,noun (common) (futsuumeishi),おうじょう,王城
2645,街道,カイドウ,221747,highway (e.g. to success); highway (esp. one existing from the Edo period); main road; path (to becoming ...),noun (common) (futsuumeishi),かいどう,街道
2646,不足,フソク,221716,complaint; deficiency; deficit; discontent; dissatisfaction; insufficiency; lack; scarcity; shortage,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ふそく,不足
2647,帰宅,キタク,221685,returning home,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",きたく,帰宅
2648,だー,ダー,221668,,,,
2649,考え込む,カンガエコン,221606,to brood; to ponder,"Godan verb with 'mu' ending, intransitive verb",かんがえこむ,考えこむ 考え込む
2650,反撃,ハンゲキ,221594,counterattack; counterblow; counteroffensive,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",はんげき,反撃
2651,計算,ケイサン,221511,calculation; count; forecast; reckoning,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",けいさん,計算
2652,首筋,クビスジ,221361,back of the neck; nape of the neck; scruff of the neck,noun (common) (futsuumeishi),くびすじ,頚筋 頸筋 首すじ 首筋
2653,上る,ノボッ,221266,"(of rain) to stop; to advance; to advance to the next grade; to ascend; to be adequate (to cover expenses, etc.); to be arrested; to be complete; to be deep fried; to be done; to be finished; to be listed (as a candidate); to be made (of profit, etc.)","Godan verb with 'ru' ending, auxiliary verb, intransitive verb",あがる,上がる 上る 挙がる 揚がる
2654,始末,シマツ,221233,being thrifty; circumstances; cleaning up; course of events; dealing with; disposal; economising; economizing; end result (usu. bad); frugality; management; outcome,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",しまつ,仕末 始末
2655,かつ,カツ,221227,to gain victory; to win,"Godan verb with 'tsu' ending, intransitive verb",かつ,克つ 勝つ 贏つ
2656,模様,モヨウ,221204,condition; conjecture of the current situation; design; example; figure; framework (in go); indicates that something seems likely (e.g. rain or storm); model; moyo; pattern; state; territorial framework,noun (common) (futsuumeishi),もよう,模様
2657,アップ,アップ,221197,"being finished; being over; being up (i.e. leading in sports); close-up; finishing shooting (of a film, etc.); increasing; posting (e.g. content); putting online; uploading; upswept hairstyle; warming up","noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, noun, used as a suffix",アップ,
2658,ルーク,ルーク,221050,rook (chess piece),noun (common) (futsuumeishi),ルーク,
2659,出入り,デイリ,221033,dispute; entering and exiting; fight; fluctuation; frequenting; going in and out; having regular dealings with; income and expenditure; incomings and outgoings; increase and decrease; indentations (e.g. of a coastline); quarrel,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",でいり ではいり,出入り 出這入り
2660,水晶,スイショウ,220892,(rock) crystal; high purity quartz,noun (common) (futsuumeishi),すいしょう,水晶 水精
2661,掻く,カイ,220841,to paddle; to perspire; to scratch; to shovel,"Godan verb with 'ku' ending, transitive verb",かく,掻く 搔く
2662,解ける,トケ,220612,"to be appeased; to be broken (spells, curses, etc.); to be cleared up; to be lifted (e.g. a ban); to be removed (of restrictions); to be resolved; to be resolved (of a dispute, misunderstanding, etc.); to be solved; to come loose; to come undone; to come untied; to dissipate (of anger, tension, etc.)","Ichidan verb, intransitive verb",とける ほどける,解ける
2663,住人,ジュウニン,220565,dweller; inhabitant; resident; user (of a website),noun (common) (futsuumeishi),じゅうにん,住人
2664,すっごい,スッゴク,220542,amazing (e.g. of strength); dreadful; great (e.g. of skills); terrible; terrific; to a great extent; vast (in numbers); wonderful,adjective (keiyoushi),すっごい すんごい スッゴい スッゴイ スンゴい スンゴイ,
2665,暴力,ボウリョク,220487,mayhem; violence,noun (common) (futsuumeishi),ぼうりょく,暴力
2666,追いつく,オイツカ,220358,to be compensated; to catch up (with); to draw level; to make up for one's losses; to pull even; to reach,"Godan verb with 'ku' ending, intransitive verb",おいつく,おい付く 追いつく 追い付く 追い着く 追付く 追着く
2667,出来れば,デキレバ,220265,if possible,"expressions (phrases, clauses, etc.)",できれば,出来れば
2668,叶える,カナエ,220244,"to answer (prayer); to fulfill (conditions); to grant (request, wish); to meet (requirements)","Ichidan verb, transitive verb",かなえる,叶える 適える
2669,ものすごい,モノスゴク,220144,awful; eerie; extreme; frightful; ghastly; gruesome; horrific; incredible; staggering; terrible; terrific; tremendous,adjective (keiyoushi),ものすごい,もの凄い 物凄い
2670,具体的,グタイテキ,220085,concrete; definite; material; specific; substantial,adjectival nouns or quasi-adjectives (keiyodoshi),ぐたいてき,具体的
2671,唸る,ウナッ,219989,"to be about to burst; to buzz; to groan; to growl; to howl; to hum (engine, wind, etc.); to make a low, dull sound; to moan; to ooh and aah (in admiration); to overflow; to roar; to sing in a strong, low voice (esp. traditional chant or recitation)","Godan verb with 'ru' ending, intransitive verb, transitive verb",うなる,呻る 唸る
2672,やり方,ヤリカタ,219575,manner; means; method; way (of doing),noun (common) (futsuumeishi),やりかた,やり方 遣り方
2673,逃がす,ニガシ,219458,to fail to catch; to let get away; to let go; to lose; to miss (e.g. a chance); to release; to set free,"Godan verb with 'su' ending, transitive verb",にがす,迯がす 逃がす
2674,滲む,ニジン,219242,"to be blurred; to blot; to blur; to ooze; to reveal itself; to run (of liquid); to show through (of feelings, emotions, etc.); to spread; to well up (of tears, etc.)","Godan verb with 'mu' ending, intransitive verb",にじむ,滲む
2675,灰色,ハイイロ,219238,ashen; gray; grey,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",かいしょく はいいろ,灰色
2676,どのような,ドノヨウナ,219203,,,,
2677,曲がる,マガッ,219194,to be askew; to be awry; to be crooked; to bend; to curve; to turn; to twist; to warp; to wind,"Godan verb with 'ru' ending, intransitive verb",まがる,曲がる 曲る
2678,テント,テント,219059,tent,noun (common) (futsuumeishi),テント,
2679,高級,コウキュウ,219058,high class; high grade; high rank; seniority,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",こうきゅう,高級
2680,加わる,クワワッ,218649,"to be added to; to be appended; to be applied (e.g. heat, pressure); to be exerted; to gain in (e.g. influence); to gather (speed); to grow; to increase (e.g. heat); to join in (e.g. a group of friends); to participate","Godan verb with 'ru' ending, intransitive verb",くわわる,加わる
2681,発展,ハッテン,218600,"advancement; development; development (of a situation, story, etc.); expansion; extension; flourishing; growth; having an active sex life; playing around; progression; unfolding","noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",はってん,発展
2682,アラン,アラン,218183,Alan (member of an ancient Scythian people),noun (common) (futsuumeishi),アラン,
2683,繰り出す,クリダシ,218169,to dispatch; to draw (a thread); to flock; to head out as a group; to let out (e.g. a rope); to lunge; to sally forth; to send out one after another; to set out in large numbers; to unleash,"Godan verb with 'su' ending, transitive verb",くりだす,くり出す 繰り出す 繰出す
2684,ほほほほほ,ホホホホホ,217992,,,,
2685,使い方,ツカイカタ,217771,management (of help); treatment; way to use something,noun (common) (futsuumeishi),つかいかた,使い方 遣い方
2686,パソコン,パソコン,217705,personal computer,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",パソコン,
2687,両方,リョウホウ,217684,both; both parties; both sides,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",りょうほう,両方
2688,テンション,テンション,217564,(emotional) tension; (good) mood; (highness of) spirits; anxiety; energy; excitement; tensile strength; tension,noun (common) (futsuumeishi),テンション,
2689,向き直る,ムキナオル,217491,to face about; to turn about; to turn round,"Godan verb with 'ru' ending, intransitive verb",むきなおる,向き直る
2690,耐性,タイセイ,217471,resistance (e.g. to antibiotics); tolerance (e.g. drug tolerance),"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",たいせい,耐性
2691,のっ,ノッ,217431,,,,
2692,めっちゃ,メッチャ,217244,excessively; extremely; very,adverb (fukushi),めっちゃ,滅茶
2693,まして,マシテ,217240,not to mention; still less; still more; to say nothing of,"adverb (fukushi), expressions (phrases, clauses, etc.)",まして,増して 況して
2694,推測,スイソク,217236,conjecture; guess,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",すいそく,推測
2695,からかう,カラカッ,217105,to banter with; to chaff; to make cracks about; to make fun of; to mock; to poke fun at; to razz; to ridicule; to tease,Godan verb with 'u' ending,からかう,揶揄う
2696,めちゃくちゃ,メチャクチャ,217066,absurd; chaotic; confused; disorderly; extreme; incoherent; incredibly; messy; nonsensical; preposterous; really; reckless,"adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi), noun (common) (futsuumeishi)",めちゃくちゃ めっちゃくちゃ メチャクチャ,滅茶苦茶 目茶苦茶
2697,這う,ハワ,217032,to crawl; to creep,"Godan verb with 'u' ending, intransitive verb",はう,匍う 延う 爬う 這う
2698,削る,ケズッ,217001,"to cross out; to curtail; to cut down (budget, expenses, staff, time, etc.); to delete; to erase; to erode; to pare; to plane; to reduce; to remove; to scrape off; to sharpen (e.g. pencil)","Godan verb with 'ru' ending, transitive verb",けずる,削る
2699,遺跡,イセキ,216989,"archeological site; historic ruins (remains, relics)",noun (common) (futsuumeishi),いせき,遺跡 遺蹟
2700,政府,セイフ,216958,administration; government,noun (common) (futsuumeishi),せいふ,政府
2701,単に,タンニ,216936,merely; only; simply; solely,adverb (fukushi),たんに,単に
2702,おかしな,オカシナ,216922,odd; ridiculous,pre-noun adjectival (rentaishi),おかしな,可笑しな
2703,経過,ケイカ,216906,course (of events); development; elapsing; lapse; passage (of time); progress; transit,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",けいか,経過
2704,詳細,ショウサイ,216752,close-up view (of a digitally displayed map); detailed; details; minute; particulars; specific; specifics; zoomed-in view,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",しょうさい,詳細
2705,ちょっ,チョッ,216726,come on; hey; hold on,interjection (kandoushi),ちょ ちょっ,
2706,異様,イヨウ,216716,bizarre; eccentric; odd; queer; strange,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",いよう,異様
2707,にっこり,ニッコリ,216567,broadly (grinning); sweetly (smiling),"adverb (fukushi), adverb taking the 'to' particle, noun or participle which takes the aux. verb suru",にこり にっこり ニコリ ニッコリ,
2708,許せる,ユルセ,216562,,,,
2709,反射,ハンシャ,216555,reflection; reflex; reflexes; reverberation,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",はんしゃ,反射
2710,瞑る,ツブッ,216422,to close (one's eyes); to shut,"Godan verb with 'ru' ending, transitive verb",つぶる つむる,暝る 瞑る
2711,煽る,アオル,216353,"to agitate; to drive up prices (by buying a large amount of something); to fan (oneself, flames, etc.); to flap (in the wind); to incite; to instigate; to stir up; to tailgate; to take a photo from a low angle","Godan verb with 'ru' ending, transitive verb",あおる,煽る
2712,ハッと,ハット,216303,"all of a sudden; being gaudy; being showy; in surprise; puffing (air); standing out; suddenly (of a movement or change); suddenly (realize, remember, etc.); with a puff; with a start","adverb (fukushi), noun or participle which takes the aux. verb suru",はっと ハッと,
2713,付与,フヨ,216062,allowance; assignment; bestowal; conferment; endowment; grant,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ふよ,付与 附与
2714,用いる,モチイ,215989,to make use of; to use; to utilise; to utilize,"Ichidan verb, transitive verb",もちいる,用いる
2715,夏休み,ナツヤスミ,215916,summer holiday; summer vacation,noun (common) (futsuumeishi),なつやすみ,夏休み
2716,家庭,カテイ,215775,family; home; household,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",かてい,家庭
2717,見合わせる,ミアワセ,215770,to abandon; to compare; to contrast; to exchange glances; to look at each other; to postpone; to put off; to withhold,"Ichidan verb, transitive verb",みあわせる,見合せる 見合わせる
2718,幼女,ヨウジョ,215738,little girl,noun (common) (futsuumeishi),ようじょ,幼女
2719,話し,ハナシ,215719,argument; chat; circumstances; conversation; discussions; fable; hearsay; negotiation; particulars; rumor; speech; story,noun (common) (futsuumeishi),はなし,咄 噺 話 話し
2720,昼間,ヒルマ,215693,daytime; diurnal period; during the day; time from sunrise until sunset,"adverb (fukushi), noun (common) (futsuumeishi)",ちゅうかん ひるま,昼間
2721,理性,リセイ,215663,(one's) sense; reason; reasoning power,noun (common) (futsuumeishi),りせい,理性
2722,ウィル,ウィル,215529,ambition; desire; intent; testament; will,noun (common) (futsuumeishi),ウィル ウイル,
2723,取り敢えず,トリアエズ,215500,at once; first of all; for now; for the time being; right away,adverb (fukushi),とりあえず,取りあえず 取り敢えず 取敢えず
2724,コート,コート,215448,"coat; coating; court (e.g. tennis, basketball, volleyball)",noun (common) (futsuumeishi),コート,
2725,本部,ホンブ,215375,head office; headquarters; main office,noun (common) (futsuumeishi),ほんぶ,本部
2726,数える,カゾエ,215194,to count; to enumerate,"Ichidan verb, transitive verb",かぞえる,数える 算える
2727,スタイル,スタイル,214871,(one's) figure; build; physique; shape; style,noun (common) (futsuumeishi),スタイル,
2728,メニュー,メニュー,214847,(computer) menu; menu; program; programme; schedule,noun (common) (futsuumeishi),ムニュ メニュー,
2729,ますます,マスマス,214827,decreasingly (when declining); increasingly; less and less; more and more,adverb (fukushi),ますます,増々 増す増す 増増 益 益々 益益
2730,上級,ジョウキュウ,214717,advanced level; high grade; senior,noun (common) (futsuumeishi),じょうきゅう,上級
2731,リリー,リリー,214638,lily,noun (common) (futsuumeishi),リリー,
2732,覚醒,カクセイ,214598,arousal; awakening; disillusion; disillusionment; revival; waking up,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",かくせい,覚せい 覚醒
2733,何時,イツ,214528,at what time; how soon; normal times; ordinary days; when,pronoun,いつ,何時
2734,武装,ブソウ,214516,armament; arms,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ぶそう,武装
2735,三十,サンジュウ,214410,30; thirty,numeric,さんじゅう みそ,三〇 三十 丗 卅 参拾 ３０
2736,争い,アラソイ,214406,conflict; contest; dispute; dissension; quarrel; rivalry; strife,noun (common) (futsuumeishi),あらそい,争い
2737,帰れる,カエレ,214292,,,,
2738,全裸,ゼンラ,214266,nude; stark naked,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ぜんら,全裸
2739,話し合う,ハナシアッ,214230,to discuss; to talk together,"Godan verb with 'u' ending, transitive verb",はなしあう,話しあう 話し合う 話合う
2740,チート,チート,214170,cheat,noun (common) (futsuumeishi),チート,
2741,吐息,トイキ,214118,long breath; sigh,noun (common) (futsuumeishi),といき,吐息
2742,表面,ヒョウメン,214111,appearances; exterior; face; outside; superficiality; surface,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ひょうめん,表面
2743,風景,フウケイ,213900,landscape; scene; scene (e.g. of a crime); scenery; sight; view,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ふうけい,風景
2744,ロボット,ロボット,213878,(mere) puppet; figurehead; pawn; robot,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ロボット,
2745,招く,マネイ,213874,to ask; to beckon; to bring on oneself; to call in; to cause; to gesture to; to incur; to invite; to lead to; to result in; to send for; to summon,"Godan verb with 'ku' ending, transitive verb",まねく,招く
2746,ミリア,ミリア,213872,,,,
2747,半身,ハンシン,213826,half length; half the body,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",はんしん,半身
2748,食らう,クラッ,213824,to be on the receiving end (of something undesirable); to drink; to eat; to knock back; to receive (e.g. a blow); to undergo (trouble); to wolf,"Godan verb with 'u' ending, transitive verb",くらう,喰らう 食らう
2749,上司,ジョウシ,213766,(one's) boss; (one's) superior; the higher-ups,noun (common) (futsuumeishi),じょうし,上司
2750,ホッと,ホット,213559,deeply (sigh); with a feeling of relief; with a sigh of relief,"adverb (fukushi), noun or participle which takes the aux. verb suru",ほっと ホっと ホッと,
2751,仕える,ツカエ,213317,to attend; to serve; to work for,"Ichidan verb, intransitive verb",つかえる,事える 仕える
2752,宿屋,ヤドヤ,213310,inn,noun (common) (futsuumeishi),やどや,宿屋
2753,左腕,ヒダリウデ,213236,left arm; left-handed (baseball pitcher),noun (common) (futsuumeishi),さわん ひだりうで,左腕
2754,キッチン,キッチン,213199,chitin; kitchen,noun (common) (futsuumeishi),キチン キッチン,
2755,ノート,ノート,212913,(musical) note; copy-book; exercise book; laptop; note; notebook; notebook computer; noting down,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",ノート,
2756,温泉,オンセン,212841,hot spring; hot spring resort; hot spring spa; onsen,noun (common) (futsuumeishi),おんせん,温泉
2757,果たして,ハタシテ,212745,actually; as was expected; ever; just as one thought; really; sure enough,adverb (fukushi),はたして,果して 果たして
2758,下す,クダシ,212743,to beat; to defeat; to discharge from the body; to do by oneself; to do in one go; to do oneself; to do to the end without stopping; to draw a conclusion; to give a judgement; to give an order; to hand down a verdict; to have diarrhea,"Godan verb with 'su' ending, auxiliary verb, transitive verb",くだす,下す 降す
2759,いやぁ,イヤァ,212736,,,,
2760,店内,テンナイ,212655,inside of a shop; store interior,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",てんない,店内
2761,分かれる,ワカレ,212352,to branch; to disperse; to diverge; to divide; to fork; to scatter; to separate; to split,"Ichidan verb, intransitive verb",わかれる,分かれる 分れる
2762,候補,コウホ,212269,candidacy; candidate; candidature; choice; contender; list; nomination; pick; prospect,noun (common) (futsuumeishi),こうほ,候補
2763,ポーズ,ポーズ,212252,pause; pose,noun (common) (futsuumeishi),ポース ポーズ,
2764,治す,ナオシ,212100,to convert (into a different state); to correct; to cure; to do over again; to fix; to heal; to put back as it was; to repair; to replace; to transform,"Godan verb with 'su' ending, auxiliary verb, transitive verb",なおす,治す 直す
2765,そりゃあ,ソリャア,212028,extremely; that is; very,"adverb (fukushi), expressions (phrases, clauses, etc.)",そりゃ そりゃあ それは,
2766,店長,テンチョウ,211977,shop manager,noun (common) (futsuumeishi),てんちょう,店長
2767,シャル,シャル,211975,,,,
2768,専用,センヨウ,211951,(one's) exclusive use; dedicated use; exclusive use (of particular products); personal use; private use; use for a particular purpose; using only (e.g. a certain brand); using solely,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, noun, used as a suffix, nouns which may take the genitive case particle 'no'",せんよう,専用
2769,脅威,キョウイ,211935,menace; threat,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",きょうい,脅威
2770,艦隊,カンタイ,211695,(naval) fleet; armada,noun (common) (futsuumeishi),かんたい,艦隊
2771,ねっ,ネッ,211650,,,,
2772,豊か,ユタカ,211555,abundant; affluent; extremely; full of; great; plentiful; rich; very; wealthy,"adjectival nouns or quasi-adjectives (keiyodoshi), suffix",ゆたか,豊か
2773,ううう,ウウウ,211426,,,,
2774,てー,テー,211225,,,,
2775,制限,セイゲン,211224,limit; limitation; restraint; restriction,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",せいげん,制限
2776,うえ,ウエ,211101,hunger; starvation,noun (common) (futsuumeishi),うえ,飢え 餓え 饑え
2777,一杯,イッパイ,211010,"a lot; all of ...; amount necessary to fill a container (e.g. cupful, spoonful, etc.); drink (usu. alcoholic); full; fully; much; one boat; one squid, octopus, crab, etc.; the entire ...; to capacity","adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi), noun (common) (futsuumeishi), noun, used as a suffix, nouns which may take the genitive case particle 'no'",いっぱい,一ぱい 一杯 一盃 １ぱい １杯
2778,時刻,ジコク,210945,(the) hour; chance; favourable time; opportunity; time,noun (common) (futsuumeishi),じこく,時刻 時剋
2779,要する,ヨウスル,210930,to demand; to need; to require; to take,"suru verb - special class, transitive verb",ようする,要する
2780,やけ,ヤケ,210889,despair; desperation; self-abandonment,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",じき やけ ヤケ,焼け 自棄
2781,躱す,カワシ,210871,to avoid; to dodge; to evade; to sidestep,"Godan verb with 'su' ending, transitive verb",かわす,躱す 避わす
2782,事務所,ジムショ,210790,office,noun (common) (futsuumeishi),じむしょ じムしょ,事ム所 事務所
2783,歓迎,カンゲイ,210761,reception; welcome,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",かんげい,歓迎
2784,おや,オヤ,210728,"(pet) owner; ancestor; banker; dealer (in cards, mahjong, etc.); forefather; founder; inventor; key; main; mother and father; parent; parent (organization)","noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",おや,祖 親
2785,自殺,ジサツ,210670,suicide,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",じさつ,自殺
2786,引き寄せる,ヒキヨセ,210652,to draw or pull something towards oneself (e.g. chair),"Ichidan verb, transitive verb",ひきよせる,引きよせる 引き寄せる 引寄せる
2787,ごく,ゴク,210623,10^48; quindecillion; quite; very,"adverb (fukushi), numeric",ごく,極 極く
2788,集落,シュウラク,210523,(bacterial) colony; community; settlement; town; village,noun (common) (futsuumeishi),しゅうらく じゅらく,聚落 集落
2789,んんっ,ンンッ,210479,,,,
2790,乱れる,ミダレ,210449,"to be disarranged; to be disarrayed; to be discomposed; to be disheveled; to be dishevelled; to be disordered; to be disturbed; to be upset; to get confused; to lapse into chaos (due to war, etc.)","Ichidan verb, intransitive verb",みだれる,乱れる 紊れる
2791,ぁああ,ァアア,210427,,,,
2792,再会,サイカイ,210212,another meeting; meeting again; reunion,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",さいかい,再会
2793,指揮,シキ,210182,command; direction,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",しき,指揮 指麾
2794,確定,カクテイ,210110,decision; definition; settlement,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",かくてい,確定
2795,うう,ウウ,209965,to grow; to plant,"Nidan verb (lower class) with 'u' ending and 'we' conjugation (archaic), transitive verb",うう,植う
2796,うわ,ウワ,209848,eep; oops; outer; surface; top; upper; upward; wow; yikes,"interjection (kandoushi), noun (common) (futsuumeishi), prefix",うわ うわあ うわっ うわー,上
2797,応ずる,オウジ,209771,to accept; to answer; to meet; to respond; to satisfy,"Ichidan verb - zuru verb (alternative form of -jiru verbs), intransitive verb",おうずる,応ずる
2798,収納,シュウノウ,209751,"harvesting; putting or stowing away; receipt (of funds, payment, etc.); storage","noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",しゅうのう,収納
2799,レイン,レイン,209709,lane; rain; reinforcement,noun (common) (futsuumeishi),レイン レーン,
2800,期間,キカン,209705,interval; period; term,noun (common) (futsuumeishi),きかん,期間
2801,つかむ,ツカン,209627,to acquire; to capture; to catch; to catch hold of; to clutch; to comprehend; to get; to grab; to grasp; to grip; to hold; to lay one's hands on,"Godan verb with 'mu' ending, transitive verb",つかむ,把む 捉む 掴む 摑む 攫む
2802,一方的,イッポウテキ,209566,arbitrary; one-sided; unilateral,adjectival nouns or quasi-adjectives (keiyodoshi),いっぽうてき,一方的
2803,ソラ,ソラ,209495,,,,
2804,トップ,トップ,209473,senior bureaucrat; senior management; top; top position,noun (common) (futsuumeishi),トップ,
2805,宿る,ヤドッ,209419,"to be a parasite (bugs, plants, etc.); to be part of a constellation; to be pregnant; to dwell; to live; to lodge at; to remain; to stay at; to stop at; to take shelter at","Godan verb with 'ru' ending, intransitive verb",やどる,宿る
2806,とて,トテ,209325,because of; even; even if; even though; on the grounds that,particle,とて,
2807,季節,キセツ,209299,season; time of year,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",きせつ,季節
2808,観客,カンキャク,209282,audience; spectator; spectators,noun (common) (futsuumeishi),かんきゃく,観客
2809,寸前,スンゼン,209130,just ahead of; just before; just in front of; on the brink of; on the verge of,"noun (common) (futsuumeishi), noun, used as a suffix",すんぜん,寸前
2810,貴重,キチョウ,209006,precious; valuable,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",きちょう,貴重
2811,良し,ヨシ,208515,agreeable; excellent; fine; good; nice; pleasant,'ku' adjective (archaic),えし よし,善し 好し 良し
2812,見覚え,ミオボエ,208483,recognition; recollection; remembrance,noun (common) (futsuumeishi),みおぼえ,見憶え 見覚え
2813,放る,ホウッ,208328,to abandon; to fling; to give up on; to hurl; to leave alone; to leave undone; to leave unfinished; to neglect; to throw; to toss,"Godan verb with 'ru' ending, transitive verb",ほうる ほる,抛る 放る
2814,さっ,サッ,208283,,,,
2815,わっ,ワッ,207981,"alright!; boo! (sound used to scare someone); boohoo!; eek!; gee!; hurray!; oh!; ugh (dissatisfaction, aggravation); ulp (consternation); waah!; wow!; yeah!",interjection (kandoushi),わあ わあっ わっ ワッ,
2816,しも,シモ,207685,frost; gray hair; grey hair; white hair,noun (common) (futsuumeishi),しも,霜
2817,体重,タイジュウ,207065,(body) weight,noun (common) (futsuumeishi),たいじゅう,体重
2818,変身,ヘンシン,206914,disguise; metamorphosis; morphing; shapeshifting; transformation,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",へんしん,変身
2819,創造,ソウゾウ,206812,creation,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",そうぞう,創造
2820,腰掛ける,コシカケ,206810,to sit (down),"Ichidan verb, intransitive verb",こしかける,腰かける 腰掛ける 腰掛る
2821,美咲,ミサキ,206806,,,,
2822,襲い掛かる,オソイカカッ,206641,to attack; to rush on; to swoop down on,"Godan verb with 'ru' ending, intransitive verb",おそいかかる,襲いかかる 襲い掛かる 襲い掛る
2823,満面,マンメン,206636,(the) whole face,"adverb (fukushi), noun (common) (futsuumeishi)",まんめん,満面
2824,夫人,フジン,206576,"consort of the emperor; madam; Mrs; wife; wife of a nobleman (aristocrat, etc.)",noun (common) (futsuumeishi),はしかし ふじん ぶにん,夫人
2825,苦痛,クツウ,206556,agony; bitterness; pain,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",くつう,苦痛
2826,潜る,モグッ,206468,to dive (into or under the water); to evade; to get around; to go through; to go under; to pass through; to pass under; to slip past; to surmount; to survive,"Godan verb with 'ru' ending, intransitive verb",くぐる,潜る
2827,了承,リョウショウ,206330,"acceptance; acknowledgement; acknowledgment; noting; understanding (e.g. ""please be understanding of the mess during our renovation"")","noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",りょうしょう,了承 諒承 領承
2828,留める,トメ,206258,"to cease; to contain; to keep (in position, in place); to limit; to put an end to; to record (e.g. a fact); to retain; to stay (e.g. the night); to stop","Ichidan verb, transitive verb",とどめる,停める 止める 留める
2829,ゴミ,ゴミ,205949,garbage; refuse; rubbish; trash,noun (common) (futsuumeishi),あくた ごみ ゴミ,塵 芥
2830,リアル,リアル,205946,earnest; non-joking; real; real world (cf. online games or social networking services); realistic; realtime blog; serious; true to life,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",リアル,
2831,指定,シテイ,205899,appointment; assignment; designation; pointing at; specification,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru",してい,指定
2832,一行,イッコウ,205873,(one) line; (one) row,noun (common) (futsuumeishi),いちぎょう,一行 １行
2833,率いる,ヒキイル,205759,to command (troops); to lead; to spearhead (a group),"Ichidan verb, transitive verb",ひきいる,率いる
2834,頭部,トウブ,205438,cephalic; cranium; head,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",とうぶ,頭部
2835,バス,バス,205431,bus,noun (common) (futsuumeishi),バス,
